train_no,train_name,source,destination,day_of_week,is_weekend,distance_km,weather,congestion,historical_avg_delay,technical_issue,signal_issue,delay_minutes
12259,Sealdah Duronto Express,Vijayawada Jn,Bhopal Jn,2,0,677,Clear,Medium,5.4,0,0,32.0
12951,Mumbai Rajdhani Express,Delhi Junction,Lucknow NR,2,0,1943,Light Rain,Medium,17.4,0,0,39.8
22439,Vande Bharat Express,Delhi Junction,Mughal Sarai,4,0,836,Clear,High,13.3,0,0,38.9
12626,Kerala Express,Delhi Junction,Mughal Sarai,2,0,826,Clear,Medium,18.1,0,0,33.1
12903,Golden Temple Mail,Kanpur Central,Bhopal Jn,2,0,1090,Heavy Rain,Low,22.9,0,0,52.5
12301,Howrah Rajdhani Express,Kota Jn,Nagpur Jn,3,0,1189,Fog,Medium,10.2,0,0,81.5
12471,Swaraj Express,New Delhi,Kanpur Central,6,1,502,Clear,Low,9.7,0,1,35.3
12009,Shatabdi Express,New Delhi,Kanpur Central,4,0,535,Heavy Rain,Medium,43.5,0,0,50.7
22439,Vande Bharat Express,Lucknow NR,Ajmer Jn,4,0,949,Fog,Low,28.5,0,0,69.9
12259,Sealdah Duronto Express,Ajmer Jn,Nagpur Jn,3,0,1653,Clear,Low,4.0,0,1,61.4
22439,Vande Bharat Express,Lucknow NR,Surat,3,0,1162,Clear,Low,37.2,0,0,25.7
12009,Shatabdi Express,Ajmer Jn,Howrah Jn,3,0,1532,Light Rain,Low,11.0,0,0,36.6
22439,Vande Bharat Express,Nagpur Jn,Kota Jn,5,1,1068,Clear,Low,27.9,1,0,76.4
12471,Swaraj Express,Surat,Ajmer Jn,6,1,2136,Clear,High,16.6,0,0,65.5
12903,Golden Temple Mail,Vijayawada Jn,Surat,3,0,263,Fog,High,35.8,0,0,79.4
12626,Kerala Express,Kanpur Central,Chennai Central,2,0,991,Fog,Low,35.3,0,0,52.8
12471,Swaraj Express,Mughal Sarai,Howrah Jn,1,0,1477,Fog,Medium,4.5,0,0,76.6
12009,Shatabdi Express,Vijayawada Jn,Chennai Central,3,0,1082,Clear,Low,26.4,0,0,26.7
22439,Vande Bharat Express,Vijayawada Jn,Surat,6,1,1029,Clear,Low,18.7,0,0,27.6
12301,Howrah Rajdhani Express,Patna Jn,Chennai Central,1,0,1241,Storm,High,17.4,0,0,85.6
12626,Kerala Express,Mughal Sarai,Kanpur Central,3,0,1512,Light Rain,Low,2.5,0,0,24.2
12009,Shatabdi Express,Chennai Central,Bhopal Jn,1,0,1807,Clear,Medium,13.5,1,0,72.5
22439,Vande Bharat Express,Vijayawada Jn,Mughal Sarai,2,0,1144,Clear,High,17.3,0,0,53.2
12723,Telangana Express,Howrah Jn,Nagpur Jn,1,0,2001,Clear,Low,26.8,0,0,40.4
12951,Mumbai Rajdhani Express,New Delhi,Chennai Central,6,1,2154,Fog,Medium,14.3,0,0,101.7
12903,Golden Temple Mail,Bhopal Jn,Lucknow NR,5,1,1874,Heavy Rain,Medium,0.0,0,0,60.8
12903,Golden Temple Mail,Bhopal Jn,Kota Jn,1,0,1922,Clear,Medium,25.9,0,0,54.2
12301,Howrah Rajdhani Express,Howrah Jn,Bhopal Jn,5,1,1436,Light Rain,Medium,8.7,0,0,50.6
12723,Telangana Express,Bhopal Jn,Nagpur Jn,3,0,1543,Clear,Low,39.1,0,0,26.6
12903,Golden Temple Mail,Kanpur Central,Nagpur Jn,4,0,1258,Fog,High,15.5,1,0,127.6
12723,Telangana Express,Mughal Sarai,Vadodara Jn,3,0,1874,Storm,Low,15.6,0,0,58.7
12471,Swaraj Express,Bhopal Jn,Lucknow NR,0,0,1200,Fog,Low,28.6,0,0,59.0
12301,Howrah Rajdhani Express,Surat,Mughal Sarai,6,1,1364,Storm,Low,12.5,0,0,51.0
12951,Mumbai Rajdhani Express,Kota Jn,Delhi Junction,6,1,1395,Clear,Low,12.0,0,0,28.9
12841,Coromandel Express,Howrah Jn,Delhi Junction,2,0,1536,Fog,High,25.4,0,0,90.1
12951,Mumbai Rajdhani Express,Bhopal Jn,Kanpur Central,2,0,495,Fog,High,20.6,0,0,90.2
12259,Sealdah Duronto Express,New Delhi,Vadodara Jn,2,0,1840,Clear,Low,10.6,0,0,21.2
12301,Howrah Rajdhani Express,Nagpur Jn,New Delhi,0,0,2022,Light Rain,Low,8.9,0,1,70.0
12301,Howrah Rajdhani Express,Nagpur Jn,Surat,2,0,2079,Clear,Medium,31.0,0,1,89.0
12951,Mumbai Rajdhani Express,Vijayawada Jn,Patna Jn,6,1,1746,Fog,Low,10.5,0,0,63.2
12723,Telangana Express,Patna Jn,Mumbai Central,3,0,807,Clear,Low,10.2,0,0,10.7
12259,Sealdah Duronto Express,Kanpur Central,Kota Jn,1,0,1032,Storm,Low,16.2,0,0,51.6
12259,Sealdah Duronto Express,Kota Jn,New Delhi,5,1,1490,Heavy Rain,High,26.3,0,0,78.7
12009,Shatabdi Express,Lucknow NR,New Delhi,0,0,1398,Clear,Low,0.0,0,0,18.4
12841,Coromandel Express,Lucknow NR,Delhi Junction,2,0,489,Light Rain,Medium,19.9,0,0,36.6
12259,Sealdah Duronto Express,Mughal Sarai,Vadodara Jn,3,0,2036,Storm,High,20.4,0,0,93.4
12626,Kerala Express,Lucknow NR,Ajmer Jn,3,0,1093,Storm,Low,5.3,0,0,55.4
12259,Sealdah Duronto Express,Vijayawada Jn,Chennai Central,6,1,2101,Clear,Medium,6.4,0,1,55.2
22439,Vande Bharat Express,New Delhi,Nagpur Jn,0,0,1603,Fog,Low,5.2,1,0,113.8
22439,Vande Bharat Express,Ajmer Jn,Howrah Jn,3,0,640,Clear,Medium,11.4,0,0,31.2
12009,Shatabdi Express,Mumbai Central,Kanpur Central,6,1,1796,Clear,Low,17.0,0,0,24.7
12723,Telangana Express,Vijayawada Jn,Vadodara Jn,0,0,1581,Clear,High,21.5,0,0,48.5
22439,Vande Bharat Express,New Delhi,Mumbai Central,0,0,1504,Storm,Medium,11.9,0,0,71.7
22439,Vande Bharat Express,Chennai Central,Patna Jn,6,1,1181,Clear,High,16.8,1,0,85.1
12301,Howrah Rajdhani Express,Lucknow NR,Bhopal Jn,3,0,591,Fog,Low,31.0,0,0,67.8
12471,Swaraj Express,Kota Jn,Delhi Junction,1,0,401,Clear,Low,18.0,0,0,15.4
12259,Sealdah Duronto Express,Howrah Jn,Surat,1,0,1417,Clear,Low,21.6,0,0,28.6
12471,Swaraj Express,Patna Jn,Delhi Junction,0,0,1672,Light Rain,Medium,24.5,0,0,55.1
12301,Howrah Rajdhani Express,Nagpur Jn,Kota Jn,1,0,1879,Clear,Low,33.1,0,0,34.1
12723,Telangana Express,Ajmer Jn,Patna Jn,0,0,309,Clear,Medium,3.6,0,0,21.2
12903,Golden Temple Mail,Vadodara Jn,Ajmer Jn,3,0,1779,Heavy Rain,Low,11.3,0,0,49.1
12841,Coromandel Express,Delhi Junction,Nagpur Jn,6,1,1714,Fog,Medium,27.8,0,0,74.5
12009,Shatabdi Express,Surat,Howrah Jn,2,0,1245,Light Rain,Low,1.8,0,0,23.0
12301,Howrah Rajdhani Express,Bhopal Jn,Delhi Junction,3,0,1684,Light Rain,Low,39.9,0,0,34.8
12903,Golden Temple Mail,Chennai Central,Patna Jn,6,1,1176,Clear,Low,9.6,0,0,11.6
22439,Vande Bharat Express,Delhi Junction,Chennai Central,5,1,1318,Clear,Medium,1.2,0,0,27.1
12259,Sealdah Duronto Express,Ajmer Jn,Patna Jn,0,0,513,Clear,Low,12.0,0,0,20.8
12471,Swaraj Express,Nagpur Jn,Ajmer Jn,5,1,814,Clear,Low,10.3,0,0,29.5
22439,Vande Bharat Express,Chennai Central,Vadodara Jn,3,0,1932,Light Rain,Medium,15.3,0,0,45.6
12723,Telangana Express,Patna Jn,Surat,5,1,430,Fog,High,0.7,0,1,112.8
12841,Coromandel Express,Mughal Sarai,Mumbai Central,6,1,2134,Light Rain,Medium,8.8,0,0,60.3
12723,Telangana Express,Bhopal Jn,Kota Jn,2,0,1661,Clear,Low,3.0,0,0,26.6
12903,Golden Temple Mail,Mughal Sarai,Howrah Jn,2,0,1491,Clear,Medium,20.9,0,0,45.7
12903,Golden Temple Mail,Chennai Central,Vijayawada Jn,0,0,685,Clear,Low,4.6,0,0,12.4
12903,Golden Temple Mail,New Delhi,Ajmer Jn,5,1,1553,Clear,Medium,18.3,0,0,47.4
12301,Howrah Rajdhani Express,Nagpur Jn,Patna Jn,4,0,739,Light Rain,High,38.3,0,0,62.9
12009,Shatabdi Express,Howrah Jn,Kanpur Central,0,0,1238,Fog,Medium,2.9,0,0,48.4
12471,Swaraj Express,Nagpur Jn,Howrah Jn,2,0,528,Clear,Medium,0.0,0,0,10.9
12009,Shatabdi Express,Howrah Jn,Ajmer Jn,1,0,513,Storm,Medium,16.2,0,0,63.6
12723,Telangana Express,Mughal Sarai,New Delhi,4,0,258,Light Rain,Low,16.4,0,0,28.3
12951,Mumbai Rajdhani Express,Chennai Central,Bhopal Jn,0,0,2060,Clear,High,34.5,0,0,62.8
12841,Coromandel Express,Vadodara Jn,Bhopal Jn,3,0,1173,Clear,Low,13.3,0,0,30.6
12626,Kerala Express,Vijayawada Jn,Kanpur Central,2,0,458,Clear,Low,25.7,0,0,10.7
12951,Mumbai Rajdhani Express,Kota Jn,Ajmer Jn,2,0,2035,Clear,Low,21.9,0,0,33.3
12471,Swaraj Express,Lucknow NR,Mumbai Central,3,0,1669,Heavy Rain,Low,32.4,0,0,65.3
12626,Kerala Express,Vadodara Jn,Kota Jn,2,0,1818,Clear,Low,0.0,0,0,31.6
12009,Shatabdi Express,Patna Jn,Mumbai Central,6,1,1605,Heavy Rain,Medium,22.4,0,0,57.5
12903,Golden Temple Mail,Lucknow NR,Bhopal Jn,2,0,1776,Clear,Low,12.2,0,0,28.0
12951,Mumbai Rajdhani Express,Delhi Junction,Howrah Jn,4,0,1528,Storm,Medium,17.1,0,0,52.7
12009,Shatabdi Express,Patna Jn,Vadodara Jn,4,0,1739,Clear,Low,29.6,1,0,47.2
12471,Swaraj Express,Lucknow NR,New Delhi,4,0,188,Clear,Low,10.0,0,0,0.7
12301,Howrah Rajdhani Express,Surat,Vijayawada Jn,6,1,1569,Clear,Low,30.3,0,0,33.0
12009,Shatabdi Express,Kanpur Central,Chennai Central,3,0,256,Light Rain,Low,14.4,0,0,18.3
12259,Sealdah Duronto Express,Kanpur Central,Delhi Junction,3,0,1270,Fog,Low,0.0,0,0,47.4
12951,Mumbai Rajdhani Express,Nagpur Jn,New Delhi,2,0,811,Heavy Rain,Low,7.7,0,0,48.0
12626,Kerala Express,Kota Jn,Lucknow NR,2,0,1464,Clear,Low,5.6,1,0,70.7
12626,Kerala Express,Mumbai Central,Chennai Central,1,0,330,Clear,High,22.3,0,1,53.4
12903,Golden Temple Mail,Surat,Delhi Junction,4,0,1921,Light Rain,Medium,26.9,0,0,54.3
12009,Shatabdi Express,Mughal Sarai,New Delhi,4,0,348,Storm,High,23.1,0,0,73.1
12903,Golden Temple Mail,Howrah Jn,Mughal Sarai,2,0,944,Clear,Medium,18.1,0,1,59.3
22439,Vande Bharat Express,Howrah Jn,Chennai Central,1,0,2156,Light Rain,Low,1.9,1,0,71.2
12723,Telangana Express,Vijayawada Jn,Delhi Junction,5,1,1630,Light Rain,Low,24.0,0,0,34.9
22439,Vande Bharat Express,Surat,Mumbai Central,3,0,296,Storm,Low,30.6,0,0,47.6
12903,Golden Temple Mail,Kanpur Central,New Delhi,6,1,1566,Light Rain,High,20.7,0,0,51.1
12471,Swaraj Express,Surat,Bhopal Jn,1,0,1017,Clear,Low,26.3,0,0,17.8
12841,Coromandel Express,Nagpur Jn,Surat,5,1,358,Storm,Medium,12.7,0,0,75.6
12301,Howrah Rajdhani Express,Delhi Junction,Mumbai Central,5,1,868,Fog,Low,22.5,0,0,71.5
12301,Howrah Rajdhani Express,Nagpur Jn,Bhopal Jn,4,0,506,Light Rain,Low,17.0,0,0,18.5
12626,Kerala Express,Vadodara Jn,Ajmer Jn,1,0,837,Clear,Low,20.4,0,0,28.1
12259,Sealdah Duronto Express,Mughal Sarai,Howrah Jn,4,0,1138,Light Rain,Medium,13.8,0,0,40.3
12301,Howrah Rajdhani Express,Vadodara Jn,Vijayawada Jn,2,0,203,Heavy Rain,High,29.1,0,0,64.7
12259,Sealdah Duronto Express,Delhi Junction,Lucknow NR,4,0,2165,Storm,Low,23.9,0,0,55.4
12009,Shatabdi Express,Kanpur Central,Bhopal Jn,6,1,1678,Clear,Medium,26.9,0,0,40.6
12259,Sealdah Duronto Express,Surat,Patna Jn,0,0,1324,Fog,High,35.1,0,0,104.4
12903,Golden Temple Mail,Vijayawada Jn,Howrah Jn,5,1,939,Fog,Medium,0.0,0,0,74.5
12009,Shatabdi Express,Delhi Junction,Patna Jn,4,0,407,Clear,High,27.3,0,0,53.0
12471,Swaraj Express,Delhi Junction,Vijayawada Jn,0,0,1727,Heavy Rain,Low,19.0,0,0,42.9
12259,Sealdah Duronto Express,Chennai Central,Nagpur Jn,1,0,441,Light Rain,Medium,28.1,0,0,30.4
12626,Kerala Express,Vadodara Jn,New Delhi,4,0,1622,Heavy Rain,Medium,2.5,0,1,104.9
12471,Swaraj Express,Kanpur Central,Surat,4,0,423,Fog,Low,8.9,0,0,55.4
12903,Golden Temple Mail,New Delhi,Chennai Central,3,0,1629,Light Rain,Medium,22.6,0,0,49.0
12301,Howrah Rajdhani Express,Mumbai Central,Patna Jn,1,0,1380,Heavy Rain,Low,27.3,0,0,55.8
12301,Howrah Rajdhani Express,Vijayawada Jn,Kanpur Central,3,0,895,Clear,Medium,6.7,0,1,49.5
12471,Swaraj Express,Vijayawada Jn,Kanpur Central,1,0,1959,Fog,Low,32.0,0,0,78.0
12626,Kerala Express,Kota Jn,Patna Jn,4,0,1280,Storm,Low,43.6,0,0,49.0
12903,Golden Temple Mail,Mughal Sarai,Vadodara Jn,0,0,767,Heavy Rain,High,0.0,1,0,116.5
22439,Vande Bharat Express,Lucknow NR,Nagpur Jn,3,0,523,Clear,Low,18.7,0,0,11.6
12301,Howrah Rajdhani Express,Surat,Bhopal Jn,1,0,748,Fog,Low,20.0,0,0,41.1
12301,Howrah Rajdhani Express,Patna Jn,Vadodara Jn,0,0,478,Clear,Medium,29.8,0,0,28.0
12471,Swaraj Express,Vadodara Jn,Chennai Central,5,1,1910,Fog,Low,25.2,0,0,80.3
12009,Shatabdi Express,Vijayawada Jn,Chennai Central,4,0,2140,Light Rain,High,2.3,0,0,54.8
12951,Mumbai Rajdhani Express,Kanpur Central,Lucknow NR,1,0,978,Heavy Rain,Low,4.0,0,0,47.0
12301,Howrah Rajdhani Express,Mughal Sarai,Chennai Central,5,1,1179,Fog,High,16.8,0,0,78.0
12903,Golden Temple Mail,Mumbai Central,New Delhi,2,0,2181,Fog,Low,4.1,0,0,61.1
12951,Mumbai Rajdhani Express,Vadodara Jn,Surat,3,0,834,Light Rain,High,0.0,0,0,54.5
12009,Shatabdi Express,Chennai Central,Mughal Sarai,6,1,582,Clear,Low,0.0,0,0,0.0
12841,Coromandel Express,Chennai Central,Kota Jn,4,0,751,Light Rain,Medium,13.3,0,0,55.5
12951,Mumbai Rajdhani Express,Ajmer Jn,Delhi Junction,0,0,1701,Storm,Low,32.0,0,0,42.6
12301,Howrah Rajdhani Express,Nagpur Jn,Mughal Sarai,0,0,255,Heavy Rain,Medium,15.1,0,0,59.0
12471,Swaraj Express,Surat,Chennai Central,4,0,2134,Clear,Medium,0.0,0,0,43.8
12301,Howrah Rajdhani Express,Mumbai Central,Surat,6,1,1582,Light Rain,Medium,37.4,0,0,54.6
12626,Kerala Express,Bhopal Jn,Patna Jn,0,0,785,Clear,Medium,1.8,0,0,25.2
12009,Shatabdi Express,Bhopal Jn,Kanpur Central,4,0,1624,Clear,Medium,10.5,0,0,32.9
22439,Vande Bharat Express,Nagpur Jn,Vijayawada Jn,0,0,2165,Clear,Low,33.4,0,0,35.6
12259,Sealdah Duronto Express,Delhi Junction,Surat,0,0,1146,Clear,Low,13.6,0,0,20.1
12009,Shatabdi Express,Mughal Sarai,Vijayawada Jn,4,0,767,Clear,High,16.0,0,0,45.4
12841,Coromandel Express,Mughal Sarai,Surat,1,0,1064,Fog,Low,8.0,0,0,43.1
22439,Vande Bharat Express,Patna Jn,Surat,1,0,1991,Heavy Rain,Low,0.0,0,0,39.1
12903,Golden Temple Mail,Delhi Junction,Howrah Jn,2,0,2001,Clear,Low,17.1,0,0,34.0
12951,Mumbai Rajdhani Express,Vijayawada Jn,Kota Jn,5,1,311,Clear,Low,6.3,0,1,35.6
12471,Swaraj Express,Mughal Sarai,Ajmer Jn,0,0,1665,Fog,Low,40.1,0,0,70.4
12471,Swaraj Express,Howrah Jn,Mughal Sarai,1,0,2165,Clear,Medium,4.9,0,0,38.2
12951,Mumbai Rajdhani Express,Lucknow NR,Ajmer Jn,1,0,1323,Fog,Medium,24.6,0,0,77.2
12009,Shatabdi Express,Lucknow NR,Nagpur Jn,0,0,974,Storm,Low,6.3,0,0,64.2
12626,Kerala Express,Ajmer Jn,Vijayawada Jn,2,0,1582,Heavy Rain,Low,41.1,0,0,48.9
12841,Coromandel Express,Mughal Sarai,Nagpur Jn,0,0,2024,Clear,Low,34.6,0,0,29.4
12301,Howrah Rajdhani Express,Lucknow NR,Vijayawada Jn,6,1,2027,Light Rain,Medium,27.9,1,0,79.1
12626,Kerala Express,Patna Jn,Surat,5,1,936,Clear,Low,28.8,0,0,14.4
12626,Kerala Express,Nagpur Jn,Bhopal Jn,6,1,858,Light Rain,Medium,4.1,0,0,31.6
12841,Coromandel Express,Mumbai Central,Kota Jn,6,1,1915,Storm,Medium,12.0,0,0,61.2
12259,Sealdah Duronto Express,Lucknow NR,Kota Jn,2,0,497,Heavy Rain,Low,4.3,0,0,21.4
12301,Howrah Rajdhani Express,Ajmer Jn,New Delhi,6,1,231,Clear,High,31.3,0,0,39.0
12301,Howrah Rajdhani Express,Mughal Sarai,Surat,1,0,318,Clear,High,34.9,0,0,56.2
12626,Kerala Express,Lucknow NR,Patna Jn,3,0,1027,Clear,Medium,28.2,0,0,38.0
12259,Sealdah Duronto Express,Vadodara Jn,Lucknow NR,6,1,1815,Light Rain,High,23.0,0,1,105.8
12903,Golden Temple Mail,Patna Jn,Bhopal Jn,0,0,1427,Light Rain,Low,8.4,0,0,25.9
12259,Sealdah Duronto Express,Surat,Vadodara Jn,2,0,761,Heavy Rain,Low,19.1,0,0,44.0
12301,Howrah Rajdhani Express,Kanpur Central,Howrah Jn,2,0,1343,Heavy Rain,Medium,22.6,0,0,68.6
12626,Kerala Express,Nagpur Jn,Chennai Central,3,0,1863,Light Rain,High,31.3,0,0,73.2
12009,Shatabdi Express,Delhi Junction,Kota Jn,5,1,1163,Clear,Medium,21.9,0,0,35.4
12723,Telangana Express,Delhi Junction,Howrah Jn,6,1,977,Fog,Low,0.0,0,0,60.4
22439,Vande Bharat Express,Patna Jn,Vadodara Jn,3,0,465,Fog,Low,23.1,0,0,51.9
12841,Coromandel Express,Vadodara Jn,Howrah Jn,1,0,1890,Clear,Low,18.2,0,0,32.8
12903,Golden Temple Mail,Nagpur Jn,New Delhi,1,0,2074,Clear,High,23.0,0,0,57.3
12009,Shatabdi Express,Surat,Mumbai Central,2,0,1133,Light Rain,Medium,28.1,0,0,43.6
12301,Howrah Rajdhani Express,Surat,Nagpur Jn,0,0,1176,Clear,High,7.5,0,1,95.4
12951,Mumbai Rajdhani Express,Chennai Central,Ajmer Jn,1,0,1095,Heavy Rain,Low,6.8,0,0,47.8
12951,Mumbai Rajdhani Express,Bhopal Jn,Chennai Central,3,0,253,Light Rain,Medium,17.8,0,0,25.3
12903,Golden Temple Mail,Lucknow NR,Howrah Jn,6,1,1974,Clear,Medium,21.0,0,0,62.5
12723,Telangana Express,Vijayawada Jn,Patna Jn,2,0,528,Fog,High,0.5,0,0,82.2
12723,Telangana Express,Delhi Junction,Mumbai Central,6,1,1260,Clear,High,32.9,0,0,49.9
12626,Kerala Express,Surat,Kanpur Central,2,0,226,Fog,Medium,0.0,0,0,50.4
12723,Telangana Express,Mughal Sarai,Delhi Junction,1,0,362,Light Rain,Low,32.2,0,1,46.9
12301,Howrah Rajdhani Express,Vijayawada Jn,Kanpur Central,4,0,1544,Clear,High,21.6,0,0,57.8
12259,Sealdah Duronto Express,Chennai Central,Mumbai Central,6,1,1885,Heavy Rain,Medium,4.7,1,0,83.3
12471,Swaraj Express,Mumbai Central,Mughal Sarai,6,1,1811,Fog,Low,6.7,0,0,51.4
12626,Kerala Express,Lucknow NR,Vadodara Jn,4,0,2146,Heavy Rain,Medium,12.5,0,0,53.4
12951,Mumbai Rajdhani Express,Howrah Jn,Mughal Sarai,0,0,1260,Light Rain,Low,44.8,0,0,36.7
12951,Mumbai Rajdhani Express,Mumbai Central,Nagpur Jn,4,0,1632,Light Rain,Low,30.7,0,0,33.0
12723,Telangana Express,Lucknow NR,Mumbai Central,1,0,865,Clear,Medium,16.8,1,1,111.7
12471,Swaraj Express,Delhi Junction,Mughal Sarai,3,0,551,Clear,High,0.0,1,1,90.0
12301,Howrah Rajdhani Express,Delhi Junction,Vijayawada Jn,5,1,678,Light Rain,Medium,11.7,0,0,31.9
12259,Sealdah Duronto Express,New Delhi,Patna Jn,1,0,1349,Clear,Low,0.0,0,0,12.5
12626,Kerala Express,Nagpur Jn,Mughal Sarai,0,0,1441,Clear,Low,36.4,0,1,43.3
12841,Coromandel Express,Mughal Sarai,Howrah Jn,6,1,1928,Fog,Low,25.9,0,0,83.5
12626,Kerala Express,Mumbai Central,Vadodara Jn,6,1,2100,Fog,Low,23.7,0,0,76.8
12301,Howrah Rajdhani Express,Kota Jn,Delhi Junction,1,0,1686,Storm,Medium,9.8,0,1,82.4
12723,Telangana Express,Vadodara Jn,Surat,5,1,1409,Clear,Low,20.3,0,0,34.8
12903,Golden Temple Mail,Surat,Ajmer Jn,6,1,552,Clear,Medium,4.9,1,0,74.5
12009,Shatabdi Express,Vijayawada Jn,Surat,0,0,705,Clear,Medium,11.9,0,0,32.2
12471,Swaraj Express,Kanpur Central,Vadodara Jn,6,1,1882,Light Rain,Low,19.5,0,0,47.9
12841,Coromandel Express,Mughal Sarai,Ajmer Jn,0,0,465,Clear,Medium,3.6,0,0,28.2
12009,Shatabdi Express,Bhopal Jn,Lucknow NR,0,0,1236,Storm,Medium,18.2,1,0,88.7
22439,Vande Bharat Express,Ajmer Jn,Vijayawada Jn,2,0,1753,Light Rain,Medium,15.4,0,0,51.3
12259,Sealdah Duronto Express,Bhopal Jn,Kota Jn,3,0,1271,Light Rain,Medium,27.8,0,0,32.8
22439,Vande Bharat Express,Chennai Central,Kanpur Central,6,1,152,Clear,Low,9.5,0,0,7.0
12723,Telangana Express,Mughal Sarai,Delhi Junction,6,1,1330,Heavy Rain,Low,7.4,0,0,41.3
12626,Kerala Express,Bhopal Jn,Mumbai Central,3,0,1687,Clear,Low,25.9,0,0,29.5
12301,Howrah Rajdhani Express,Lucknow NR,Ajmer Jn,5,1,242,Light Rain,Medium,37.8,0,0,32.9
12471,Swaraj Express,Mughal Sarai,Mumbai Central,0,0,951,Storm,Low,16.3,0,0,61.7
12259,Sealdah Duronto Express,Patna Jn,Bhopal Jn,2,0,901,Fog,Low,32.2,0,0,43.2
12723,Telangana Express,Mughal Sarai,Howrah Jn,2,0,1406,Fog,Low,12.6,0,0,70.6
12626,Kerala Express,Vijayawada Jn,Lucknow NR,1,0,1210,Light Rain,High,40.6,0,0,73.3
12626,Kerala Express,New Delhi,Nagpur Jn,2,0,736,Clear,Low,28.1,0,0,18.7
12471,Swaraj Express,Howrah Jn,Kota Jn,4,0,1907,Clear,High,6.2,0,0,48.5
12723,Telangana Express,Mughal Sarai,New Delhi,1,0,1632,Clear,Low,0.7,0,0,17.3
12903,Golden Temple Mail,Surat,Vadodara Jn,1,0,572,Clear,Medium,0.0,1,0,70.6
12259,Sealdah Duronto Express,Patna Jn,Nagpur Jn,1,0,2048,Clear,Low,16.8,0,0,29.4
12951,Mumbai Rajdhani Express,Vijayawada Jn,Howrah Jn,3,0,282,Clear,Medium,16.2,0,0,19.1
12259,Sealdah Duronto Express,Lucknow NR,Delhi Junction,2,0,1262,Heavy Rain,Medium,9.9,0,0,56.7
12626,Kerala Express,Lucknow NR,Bhopal Jn,6,1,1323,Clear,Low,26.7,0,0,25.2
12259,Sealdah Duronto Express,Surat,Delhi Junction,5,1,1540,Storm,Medium,17.5,0,0,68.1
12626,Kerala Express,Mughal Sarai,Surat,3,0,1405,Clear,Medium,14.2,0,0,27.9
22439,Vande Bharat Express,Surat,Chennai Central,6,1,2159,Light Rain,Medium,2.2,0,0,47.5
12471,Swaraj Express,Howrah Jn,Kota Jn,5,1,374,Storm,Low,19.3,0,0,54.9
22439,Vande Bharat Express,Nagpur Jn,New Delhi,5,1,789,Light Rain,High,18.8,0,0,56.2
12951,Mumbai Rajdhani Express,Mumbai Central,Howrah Jn,2,0,838,Clear,Low,45.6,0,0,26.1
12903,Golden Temple Mail,Patna Jn,Mughal Sarai,1,0,212,Light Rain,Medium,2.3,0,1,50.8
12301,Howrah Rajdhani Express,Lucknow NR,Mughal Sarai,1,0,845,Light Rain,Low,17.8,0,0,25.3
12626,Kerala Express,Kota Jn,Howrah Jn,2,0,969,Clear,Medium,14.9,1,0,60.8
12723,Telangana Express,Mughal Sarai,Chennai Central,6,1,1318,Fog,High,27.5,0,0,91.0
12626,Kerala Express,Surat,Kota Jn,6,1,1409,Clear,Low,24.4,0,0,19.3
12009,Shatabdi Express,Surat,Vijayawada Jn,1,0,1493,Heavy Rain,Low,17.1,0,0,57.5
12626,Kerala Express,Kota Jn,Chennai Central,0,0,739,Clear,Medium,27.5,0,1,61.3
12009,Shatabdi Express,Delhi Junction,Lucknow NR,2,0,1467,Light Rain,Low,39.5,0,0,42.6
12471,Swaraj Express,Vijayawada Jn,Howrah Jn,4,0,1422,Fog,Low,37.9,0,0,53.9
12723,Telangana Express,Vadodara Jn,Kanpur Central,0,0,310,Clear,Low,37.9,1,0,70.7
12723,Telangana Express,Nagpur Jn,Chennai Central,5,1,168,Clear,Medium,0.0,0,0,32.1
12626,Kerala Express,Surat,Chennai Central,4,0,1417,Light Rain,Low,21.7,0,0,33.5
12259,Sealdah Duronto Express,Vijayawada Jn,Bhopal Jn,6,1,1655,Light Rain,High,11.3,0,0,61.1
12951,Mumbai Rajdhani Express,Howrah Jn,Mughal Sarai,0,0,599,Heavy Rain,Low,22.1,0,0,37.8
12301,Howrah Rajdhani Express,Mughal Sarai,Vadodara Jn,3,0,1800,Heavy Rain,High,11.6,0,0,88.3
12301,Howrah Rajdhani Express,Vijayawada Jn,Mughal Sarai,0,0,263,Light Rain,High,12.4,0,0,60.5
12009,Shatabdi Express,Mughal Sarai,Patna Jn,2,0,1808,Light Rain,Low,14.9,0,0,30.7
12626,Kerala Express,Surat,Mumbai Central,0,0,1973,Clear,Medium,39.5,0,0,56.1
12841,Coromandel Express,Kota Jn,Surat,5,1,2117,Clear,Medium,5.6,1,0,90.6
12259,Sealdah Duronto Express,New Delhi,Vijayawada Jn,1,0,2144,Clear,Low,19.5,0,0,31.6
12009,Shatabdi Express,Howrah Jn,Ajmer Jn,0,0,1841,Heavy Rain,Low,22.7,0,0,53.4
12951,Mumbai Rajdhani Express,Lucknow NR,Mumbai Central,4,0,1427,Clear,Medium,21.8,0,0,43.2
12301,Howrah Rajdhani Express,Mughal Sarai,Mumbai Central,3,0,446,Light Rain,Low,25.6,0,0,25.4
12723,Telangana Express,Ajmer Jn,Mughal Sarai,1,0,359,Clear,Low,9.1,0,0,13.4
